127.0.0.1, 2014-06-09 22:12:21, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2014-06-09 22:12:22, GET, /welcome/default/index, HTTP/1.1, 200, 1.207000
127.0.0.1, 2014-06-09 22:12:23, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.060000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:19:04, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:19:05, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 00:44:55, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:44:50, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.159000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:50, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/default/index, HTTP/1.1, 200, 0.229000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:44:56, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:44:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-10 12:44:56, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-10 12:45:00, POST, /admin/default/index, HTTP/1.1, 303, 0.392000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/default/site, HTTP/1.1, 200, 0.082000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-06-10 12:45:21, POST, /admin/default/check_version, HTTP/1.1, 200, 21.232000
127.0.0.1, 2014-06-10 12:45:37, POST, /admin/default/site, HTTP/1.1, 303, 2.322000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/default/design/Prepratilipi, HTTP/1.1, 200, 1.768000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.040000
